♣2♦K♣4♥4♠4|Three Of A Kind
♥8♦K♣4♥4♠4|Three Of A Kind
♣Q♦K♣4♥4♠4|Three Of A Kind
♠A♣5♣4♥4♠4|Three Of A Kind
♣2♣5♣4♥4♠4|Three Of A Kind
♥8♣5♣4♥4♠4|Three Of A Kind
♣Q♣5♣4♥4♠4|Three Of A Kind
♦K♣5♣4♥4♠4|Three Of A Kind
♠A♥6♣4♥4♠4|Three Of A Kind
♣2♥6♣4♥4♠4|Three Of A Kind
♥8♥6♣4♥4♠4|Three Of A Kind
♣Q♥6♣4♥4♠4|Three Of A Kind
♦K♥6♣4♥4♠4|Three Of A Kind
♣5♥6♣4♥4♠4|Three Of A Kind
♠A♥0♣4♥4♠4|Three Of A Kind
♣2♥0♣4♥4♠4|Three Of A Kind
♥8♥0♣4♥4♠4|Three Of A Kind
♣Q♥0♣4♥4♠4|Three Of A Kind
♦K♥0♣4♥4♠4|Three Of A Kind
♣5♥0♣4♥4♠4|Three Of A Kind
♥6♥0♣4♥4♠4|Three Of A Kind
♠A♣2♥2♥4♠4|Two Pairs
♠A♥8♥2♥4♠4|Pair
♣2♥8♥2♥4♠4|Two Pairs
♠A♣Q♥2♥4♠4|Pair
♣2♣Q♥2♥4♠4|Two Pairs
♥8♣Q♥2♥4♠4|Pair
♠A♦K♥2♥4♠4|Pair
♣2♦K♥2♥4♠4|Two Pairs
♥8♦K♥2♥4♠4|Pair
♣Q♦K♥2♥4♠4|Pair
♠A♣5♥2♥4♠4|Pair
♣2♣5♥2♥4♠4|Two Pairs
♥8♣5♥2♥4♠4|Pair
♣Q♣5♥2♥4♠4|Pair
♦K♣5♥2♥4♠4|Pair
♠A♥6♥2♥4♠4|Pair
♣2♥6♥2♥4♠4|Two Pairs
♥8♥6♥2♥4♠4|Pair
♣Q♥6♥2♥4♠4|Pair
♦K♥6♥2♥4♠4|Pair
♣5♥6♥2♥4♠4|Pair
♠A♥0♥2♥4♠4|Pair
♣2♥0♥2♥4♠4|Two Pairs
♥8♥0♥2♥4♠4|Pair
♣Q♥0♥2♥4♠4|Pair
♦K♥0♥2♥4♠4|Pair
♣5♥0♥2♥4♠4|Pair
♥6♥0♥2♥4♠4|Pair
♠A♣4♥2♥4♠4|Three Of A Kind
♣2♣4♥2♥4♠4|Three Of A Kind
♥8♣4♥2♥4♠4|Three Of A Kind
♣Q♣4♥2♥4♠4|Three Of A Kind
♦K♣4♥2♥4♠4|Three Of A Kind
♣5♣4♥2♥4♠4|Three Of A Kind
♥6♣4♥2♥4♠4|Three Of A Kind
♥0♣4♥2♥4♠4|Three Of A Kind
♠A♣2♥K♥4♠4|Pair
♠A♥8♥K♥4♠4|Pair
♣2♥8♥K♥4♠4|Pair
♠A♣Q♥K♥4♠4|Pair
♣2♣Q♥K♥4♠4|Pair
♥8♣Q♥K♥4♠4|Pair
♠A♦K♥K♥4♠4|Two Pairs
♣2♦K♥K♥4♠4|Two Pairs
♥8♦K♥K♥4♠4|Two Pairs
♣Q♦K♥K♥4♠4|Two Pairs
♠A♣5♥K♥4♠4|Pair
♣2♣5♥K♥4♠4|Pair
♥8♣5♥K♥4♠4|Pair
♣Q♣5♥K♥4♠4|Pair
♦K♣5♥K♥4♠4|Two Pairs
♠A♥6♥K♥4♠4|Pair
♣2♥6♥K♥4♠4|Pair
♥8♥6♥K♥4♠4|Pair
♣Q♥6♥K♥4♠4|Pair
♦K♥6♥K♥4♠4|Two Pairs
♣5♥6♥K♥4♠4|Pair
♠A♥0♥K♥4♠4|Pair
♣2♥0♥K♥4♠4|Pair
♥8♥0♥K♥4♠4|Pair
♣Q♥0♥K♥4♠4|Pair
♦K♥0♥K♥4♠4|Two Pairs
♣5♥0♥K♥4♠4|Pair
♥6♥0♥K♥4♠4|Pair
♠A♣4♥K♥4♠4|Three Of A Kind
♣2♣4♥K♥4♠4|Three Of A Kind
♥8♣4♥K♥4♠4|Three Of A Kind
♣Q♣4♥K♥4♠4|Three Of A Kind
♦K♣4♥K♥4♠4|Three Of A Kind
♣5♣4♥K♥4♠4|Three Of A Kind
♥6♣4♥K♥4♠4|Three Of A Kind
♥0♣4♥K♥4♠4|Three Of A Kind
♠A♥2♥K♥4♠4|Pair
♣2♥2♥K♥4♠4|Two Pairs
♥8♥2♥K♥4♠4|Pair
♣Q♥2♥K♥4♠4|Pair
♦K♥2♥K♥4♠4|Two Pairs
♣5♥2♥K♥4♠4|Pair
♥6♥2♥K♥4♠4|Pair
♥0♥2♥K♥4♠4|Pair
♣4♥2♥K♥4♠4|Three Of A Kind
♠A♣2♠8♥4♠4|Pair
♠A♥8♠8♥4♠4|Two Pairs
♣2♥8♠8♥4♠4|Two Pairs
♠A♣Q♠8♥4♠4|Pair
♣2♣Q♠8♥4♠4|Pair
♥8♣Q♠8♥4♠4|Two Pairs
♠A♦K♠8♥4♠4|Pair
♣2♦K♠8♥4♠4|Pair
♥8♦K♠8♥4♠4|Two Pairs
♣Q♦K♠8♥4♠4|Pair
♠A♣5♠8♥4♠4|Pair
♣2♣5♠8♥4♠4|Pair
♥8♣5♠8♥4♠4|Two Pairs
♣Q♣5♠8♥4♠4|Pair
♦K♣5♠8♥4♠4|Pair
♠A♥6♠8♥4♠4|Pair
♣2♥6♠8♥4♠4|Pair
♥8♥6♠8♥4♠4|Two Pairs
♣Q♥6♠8♥4♠4|Pair
♦K♥6♠8♥4♠4|Pair
♣5♥6♠8♥4♠4|Pair
♠A♥0♠8♥4♠4|Pair
♣2♥0♠8♥4♠4|Pair
♥8♥0♠8♥4♠4|Two Pairs
♣Q♥0♠8♥4♠4|Pair
♦K♥0♠8♥4♠4|Pair
♣5♥0♠8♥4♠4|Pair
♥6♥0♠8♥4♠4|Pair
♠A♣4♠8♥4♠4|Three Of A Kind
♣2♣4♠8♥4♠4|Three Of A Kind
♥8♣4♠8♥4♠4|Three Of A Kind
♣Q♣4♠8♥4♠4|Three Of A Kind
♦K♣4♠8♥4♠4|Three Of A Kind
♣5♣4♠8♥4♠4|Three Of A Kind
♥6♣4♠8♥4♠4|Three Of A Kind
♥0♣4♠8♥4♠4|Three Of A Kind
♠A♥2♠8♥4♠4|Pair
♣2♥2♠8♥4♠4|Two Pairs
♥8♥2♠8♥4♠4|Two Pairs
♣Q♥2♠8♥4♠4|Pair
♦K♥2♠8♥4♠4|Pair
♣5♥2♠8♥4♠4|Pair
♥6♥2♠8♥4♠4|Pair
♥0♥2♠8♥4♠4|Pair
♣4♥2♠8♥4♠4|Three Of A Kind
♠A♥K♠8♥4♠4|Pair
♣2♥K♠8♥4♠4|Pair
♥8♥K♠8♥4♠4|Two Pairs
♣Q♥K♠8♥4♠4|Pair
♦K♥K♠8♥4♠4|Two Pairs
♣5♥K♠8♥4♠4|Pair
♥6♥K♠8♥4♠4|Pair
♥0♥K♠8♥4♠4|Pair
♣4♥K♠8♥4♠4|Three Of A Kind
♥2♥K♠8♥4♠4|Pair
♠A♣2♣Q♠Q♠4|Pair
♠A♥8♣Q♠Q♠4|Pair
♣2♥8♣Q♠Q♠4|Pair
♠A♣Q♦K♠Q♠4|Pair
♣2♣Q♦K♠Q♠4|Pair
♥8♣Q♦K♠Q♠4|Pair
♠A♣Q♣5♠Q♠4|Pair
♣2♣Q♣5♠Q♠4|Pair
♥8♣Q♣5♠Q♠4|Pair
♣Q♦K♣5♠Q♠4|Pair
♠A♣Q♥6♠Q♠4|Pair
♣2♣Q♥6♠Q♠4|Pair
♥8♣Q♥6♠Q♠4|Pair
♣Q♦K♥6♠Q♠4|Pair
♣Q♣5♥6♠Q♠4|Pair
♠A♣Q♥0♠Q♠4|Pair
♣2♣Q♥0♠Q♠4|Pair
♥8♣Q♥0♠Q♠4|Pair
♣Q♦K♥0♠Q♠4|Pair
♣Q♣5♥0♠Q♠4|Pair
♣Q♥6♥0♠Q♠4|Pair
♠A♣2♣4♠Q♠4|Pair
♠A♥8♣4♠Q♠4|Pair
♣2♥8♣4♠Q♠4|Pair
♠A♣Q♣4♠Q♠4|Two Pairs
♣2♣Q♣4♠Q♠4|Two Pairs
♥8♣Q♣4♠Q♠4|Two Pairs
♠A♦K♣4♠Q♠4|Pair
♣2♦K♣4♠Q♠4|Pair
♥8♦K♣4♠Q♠4|Pair
♣Q♦K♣4♠Q♠4|Two Pairs
♠A♣5♣4♠Q♠4|Pair
♣2♣5♣4♠Q♠4|Pair
♥8♣5♣4♠Q♠4|Pair
♣Q♣5♣4♠Q♠4|Two Pairs
♦K♣5♣4♠Q♠4|Pair
♠A♥6♣4♠Q♠4|Pair
♣2♥6♣4♠Q♠4|Pair
♥8♥6♣4♠Q♠4|Pair
♣Q♥6♣4♠Q♠4|Two Pairs
♦K♥6♣4♠Q♠4|Pair
♣5♥6♣4♠Q♠4|Pair
♠A♥0♣4♠Q♠4|Pair
♣2♥0♣4♠Q♠4|Pair
♥8♥0♣4♠Q♠4|Pair
♣Q♥0♣4♠Q♠4|Two Pairs
♦K♥0♣4♠Q♠4|Pair
♣5♥0♣4♠Q♠4|Pair
♥6♥0♣4♠Q♠4|Pair
♠A♣2♥2♠Q♠4|Pair
♣2♥8♥2♠Q♠4|Pair
♠A♣Q♥2♠Q♠4|Pair
♣2♣Q♥2♠Q♠4|Two Pairs
♥8♣Q♥2♠Q♠4|Pair
♣2♦K♥2♠Q♠4|Pair
♣Q♦K♥2♠Q♠4|Pair
♣2♣5♥2♠Q♠4|Pair
♣Q♣5♥2♠Q♠4|Pair
♣2♥6♥2♠Q♠4|Pair
♣Q♥6♥2♠Q♠4|Pair
♣2♥0♥2♠Q♠4|Pair
♣Q♥0♥2♠Q♠4|Pair
♠A♣4♥2♠Q♠4|Pair
♣2♣4♥2♠Q♠4|Two Pairs
♥8♣4♥2♠Q♠4|Pair
♣Q♣4♥2♠Q♠4|Two Pairs
♦K♣4♥2♠Q♠4|Pair
♣5♣4♥2♠Q♠4|Pair
♥6♣4♥2♠Q♠4|Pair
♥0♣4♥2♠Q♠4|Pair
♠A♣Q♥K♠Q♠4|Pair
♣2♣Q♥K♠Q♠4|Pair
♥8♣Q♥K♠Q♠4|Pair
♠A♦K♥K♠Q♠4|Pair
♣2♦K♥K♠Q♠4|Pair
♥8♦K♥K♠Q♠4|Pair
♣Q♦K♥K♠Q♠4|Two Pairs
♣Q♣5♥K♠Q♠4|Pair
♦K♣5♥K♠Q♠4|Pair
♣Q♥6♥K♠Q♠4|Pair
♦K♥6♥K♠Q♠4|Pair
♣Q♥0♥K♠Q♠4|Pair
♦K♥0♥K♠Q♠4|Pair
♠A♣4♥K♠Q♠4|Pair
♣2♣4♥K♠Q♠4|Pair
♥8♣4♥K♠Q♠4|Pair
♣Q♣4♥K♠Q♠4|Two Pairs
♦K♣4♥K♠Q♠4|Two Pairs
♣5♣4♥K♠Q♠4|Pair
♥6♣4♥K♠Q♠4|Pair
♥0♣4♥K♠Q♠4|Pair
♣2♥2♥K♠Q♠4|Pair
♣Q♥2♥K♠Q♠4|Pair
♦K♥2♥K♠Q♠4|Pair
♣4♥2♥K♠Q♠4|Pair
♠A♥8♠8♠Q♠4|Pair
♣2♥8♠8♠Q♠4|Pair
♠A♣Q♠8♠Q♠4|Pair
♣2♣Q♠8♠Q♠4|Pair
♥8♣Q♠8♠Q♠4|Two Pairs
♥8♦K♠8♠Q♠4|Pair
♣Q♦K♠8♠Q♠4|Pair
♥8♣5♠8♠Q♠4|Pair
♣Q♣5♠8♠Q♠4|Pair
♥8♥6♠8♠Q♠4|Pair
♣Q♥6♠8♠Q♠4|Pair
♥8♥0♠8♠Q♠4|Pair
♣Q♥0♠8♠Q♠4|Pair
♠A♣4♠8♠Q♠4|Pair
♣2♣4♠8♠Q♠4|Pair
♥8♣4♠8♠Q♠4|Two Pairs
♣Q♣4♠8♠Q♠4|Two Pairs
♦K♣4♠8♠Q♠4|Pair
♣5♣4♠8♠Q♠4|Pair
♥6♣4♠8♠Q♠4|Pair
♥0♣4♠8♠Q♠4|Pair
♣2♥2♠8♠Q♠4|Pair
♥8♥2♠8♠Q♠4|Pair
♣Q♥2♠8♠Q♠4|Pair
♣4♥2♠8♠Q♠4|Pair
♥8♥K♠8♠Q♠4|Pair
♣Q♥K♠8♠Q♠4|Pair
♦K♥K♠8♠Q♠4|Pair
♣4♥K♠8♠Q♠4|Pair
♠A♣2♥4♠Q♠4|Pair
♠A♥8♥4♠Q♠4|Pair
♣2♥8♥4♠Q♠4|Pair
♠A♣Q♥4♠Q♠4|Two Pairs
♣2♣Q♥4♠Q♠4|Two Pairs
♥8♣Q♥4♠Q♠4|Two Pairs
♠A♦K♥4♠Q♠4|Pair
♣2♦K♥4♠Q♠4|Pair
♥8♦K♥4♠Q♠4|Pair
♣Q♦K♥4♠Q♠4|Two Pairs
♠A♣5♥4♠Q♠4|Pair
♣2♣5♥4♠Q♠4|Pair
♥8♣5♥4♠Q♠4|Pair
♣Q♣5♥4♠Q♠4|Two Pairs
♦K♣5♥4♠Q♠4|Pair
♠A♥6♥4♠Q♠4|Pair
♣2♥6♥4♠Q♠4|Pair
♥8♥6♥4♠Q♠4|Pair
♣Q♥6♥4♠Q♠4|Two Pairs
♦K♥6♥4♠Q♠4|Pair
♣5♥6♥4♠Q♠4|Pair
♠A♥0♥4♠Q♠4|Pair
♣2♥0♥4♠Q♠4|Pair
♥8♥0♥4♠Q♠4|Pair
♣Q♥0♥4♠Q♠4|Two Pairs
♦K♥0♥4♠Q♠4|Pair
♣5♥0♥4♠Q♠4|Pair
♥6♥0♥4♠Q♠4|Pair
♠A♣4♥4♠Q♠4|Three Of A Kind
♣2♣4♥4♠Q♠4|Three Of A Kind
♥8♣4♥4♠Q♠4|Three Of A Kind
♣Q♣4♥4♠Q♠4|Three Of A Kind
♦K♣4♥4♠Q♠4|Three Of A Kind
♣5♣4♥4♠Q♠4|Three Of A Kind
♥6♣4♥4♠Q♠4|Three Of A Kind
♥0♣4♥4♠Q♠4|Three Of A Kind
♠A♥2♥4♠Q♠4|Pair
♣2♥2♥4♠Q♠4|Two Pairs
♥8♥2♥4♠Q♠4|Pair
♣Q♥2♥4♠Q♠4|Two Pairs
♦K♥2♥4♠Q♠4|Pair
♣5♥2♥4♠Q♠4|Pair
♥6♥2♥4♠Q♠4|Pair
♥0♥2♥4♠Q♠4|Pair
♣4♥2♥4♠Q♠4|Three Of A Kind
♠A♥K♥4♠Q♠4|Pair
♣2♥K♥4♠Q♠4|Pair
♥8♥K♥4♠Q♠4|Pair
♣Q♥K♥4♠Q♠4|Two Pairs
♦K♥K♥4♠Q♠4|Two Pairs
♣5♥K♥4♠Q♠4|Pair
♥6♥K♥4♠Q♠4|Pair
♥0♥K♥4♠Q♠4|Pair
♣4♥K♥4♠Q♠4|Three Of A Kind
♥2♥K♥4♠Q♠4|Pair
♠A♠8♥4♠Q♠4|Pair
♣2♠8♥4♠Q♠4|Pair
♥8♠8♥4♠Q♠4|Two Pairs
♣Q♠8♥4♠Q♠4|Two Pairs
♦K♠8♥4♠Q♠4|Pair
♣5♠8♥4♠Q♠4|Pair
♥6♠8♥4♠Q♠4|Pair
♥0♠8♥4♠Q♠4|Pair
♣4♠8♥4♠Q♠4|Three Of A Kind
♥2♠8♥4♠Q♠4|Pair
♥K♠8♥4♠Q♠4|Pair
